#файл данных

туры: 26 #ко-во туров в регулярном чемпионате
стадии_плэйофф: 3 #кол-во стадий плэйофф
матчи_плэйофф: 3 5 5 #макс кол-во матчей на стадиях плэйофф
баллы_регулярный: 3 2 1 #баллы игрокам за 1, 2, 3 места в регулярном чемпионате
баллы_плэйофф: 6 4 2 #баллы игрокам за 1, 2, 3 места в плэйофф


команды: корабелка ленинградка акбарс уралочка краснодар енисей динамо омичка протон заречье метар локомотив тулица минчанка

#игроки(лен): озерова(св) рубан(до) гарелик(ди) романова(до) мишагина(св) мельникова(бл) перова(ли) булгакова(ли) малыгина(бл) 

исключить_из_голосования: #bogdanov

14 урал лен Хлебникова Фитисова Рубан tisevich
14 урал лен Ваганова Фитисова Хлебникова uralband
14 урал лен Протопопова Тица Фитисова mihalko
14 дин кор Капустина Пушина Гончарова papaka
14 локо мин Киси Киселева Турчина rombik
14 локо мин Турчина Пирайнен Киселева litovchenko
14 дин кор Капустина Синицына Пушина satdinov

13 акб зар Мартинес Бровкина Максимова dzich
13 акб зар Мартинес Мори Максимова ason
13 акб зар Мартинес Бровкина Масалева sidorova

14 акб протон Геращенкова Энвеонву Томашевская mihalko
14 метар зар Бирюкова Бровкина Максимова dzich
14 метар зар Бровкина Бирюкова Диких ason
14 акб протон Геращенкова Томашевская Дороничева voley
14 локо мин Федоринчик Зайцева Костючик miroslava
14 оми ени Коржова Бесман Даций georgiy
14 оми ени кроткова Дьяченко Даций uralband
14 оми ени Дьяченко Даций Мазина yar
14 оми ени Дьяченко Даций Кроткова enikom
14 оми ени Велисевич Даций Воситова kungurtsev
14 тул крас Мамедова Прасолова Перович uralband
14 тул крас Мамедова Перович Полякова mihalko
14 тул крас Мамедова Перович Прасолова cherkashin
14 тул крас Прасолова Перович Мамедова voley
14 дин кор Чернова Пушина Маршавина voley

13 урал ени Фитисова Протопопова Хлебникова yar
13 урал ени Протопопова Швыдкая Хлебникова enikom
13 урал ени Тица Фитисова Хлебникова uralband
13 урал ени Тица Хлебникова Швыдкая mihalko

15 кор акб Гатина Гонсалес Филиппова papaka
15 кор акб Гатина Исакова Коновалова shipilov
15 кор акб Матвеева Гатина Королева mihalko
15 кор акб Гатина Гонсалес Коновалова voley
15 протон метар Форналева Стальная Зайцева ustinov
15 протон метар Форналева Стальная Селиверстова sovtsova
15 тул локо Лебедкина Перович Киси rombik
15 тул локо Перович Лебедкина Прасолова mihalko
15 крас дин Капустина Пушина Курносова cherkashin
15 крас дин Пушина Капустина Курносова satdinov
15 тул локо Лебедкина Станкевичуте Перович litovchenko
15 крас дин Пушина Лукьянова Ежак voley
15 ени мин Мазина Афонина Турчина yar 
15 ени мин Мазина Турчина Афонина enikom
15 зар урал Фитисова Хлебникова Протопопова uralband
15 зар урал Протопопова Фитисова Хлебникова tisevich
15 зар урал Фитисова Хлебникова Протопопова mihalko
15 зар урал Протопопова Хлебникова Фитисова vinogradov
15 ени мин Мазина Даций Чередникова voley


16 оми зар Бровкина Мори Азанова voley
16 оми зар Бярда Бровкина Кроткова georgiy
16 оми зар Бирюкова Бярда Бровкина ason
16 метар кор Диких Филиштинская Нестерова papaka
16 оми зар Бровкина Азанова Бярда kungurtsev
16 метар кор Нестерова Диких форналева cherkashin
16 урал протон Тица Протопопова Хлебникова ustinov
16 урал протон Тица Протопопова Хлебникова sovtsova
16 мин лен Шевченко Мельникова Гарелик tisevich
16 тул дин Лазарева Сокольчик Синицына mihalko
16 тул дин Лукьянова Маршавина Лазарева voley
16 урал протон Тица Фитисова Ваганова uralband
16 локо ени Киселева Салтыкова Киси rombik
16 локо ени Киселева Киси Салтыкова litovchenko
16 локо ени Киселева Даций киси yar
16 локо ени Киселева Даций Салтыкова enikom
16 метар кор нестерова диких форналева vizaulin
16 локо ени Киси Салтыкова Киселева kungurtsev
16 мин лен Мельникова Озерова Рубан mihalko
16 акб крас Бибина Коновалова Реброва shipilov
16 акб крас Гатина Королева Боговская cherkashin
16 тул дин Лазарева Лебедкина Капустина satdinov
16 акб крас Реброва Боговская Матвеева voley
16 оми зар Бирюкова Бровкина Бярда dzich


17 лен ени Романова Гарелик Перова bogdanov
17 лен ени Озерова Рубан Малыгина tisevich
17 лен ени Озерова Мельникова Малыгина mihalko
17 оми протон Кроткова Дьяченко Бесман georgiy
17 дин локо Лазарева Лукьянова Маршавина mihalko
17 дин локо Лукьянова Лазарева Капустина vinogradov
17 дин локо Лукьянова Киси Чернова rombik
17 оми протон Дьяченко Кроткова Лялина kungurtsev
17 дин локо Киси Манжосова Костюкевич litovchenko
17 дин локо Лукьянова Чернова Киси ason
17 дин локо Чернова Синицына Лукьянова satdinov
17 оми протон Коржова Азанова Бесман ustinov
17 оми протон Кроткова Азанова Бесман sovtsova
17 оми протон кроткова Бесман Сергеева mihalko
17 дин локо Лукьянова Чернова Лазарева voley
17 крас метар боговская слаутина диких vizaulin
17 кор урал Фитисова Ваганова Протопопова uralband
17 кор урал Фитисова Тица Морено papaka
17 крас метар Симоненко Диких Шубина voley
17 крас метар Диких Симоненко Боговская cherkashin
17 тул акб Гатина Лебедкина Бибина mihalko
17 зар мин Турчина Бурак Бирюкова uralband
17 зар мин Турчина Столяр Бирюкова vinogradov
17 зар мин Турчина Бурак Бирюкова ason
17 зар мин Тинникова Бурак Турчина voley
17 зар мин Турчина Тинникова Бирюкова dzich
17 зар мин Бурак Турчина Тинникова sidorova
17 зар мин Турчина Сычева Тинникова mihalko
17 кор урал Тица Швыдкая Хлебникова mihalko
17 кор урал Тица Швыдкая Морено voley


18 оми кор Нестерова Морено Филиштинская georgiy
18 оми кор Филиштинская Нестерова Морено mihalko
18 оми кор Морено Коржова Филиштинская kungurtsev
18 оми кор Филиштинская Нестерова Морено papaka
18 оми кор Морено Дьяченко Филиштинская ))
18 ени зар Мори Столяр Даций voley
18 ени зар Бровкина Мори Даций yar
18 ени зар Мори Даций Бровкина enikom
18 ени зар Мори Бирюкова Бровкина ason
17 зар мин Турчина Трофимова Бурак zharkih
18 ени зар Бровкина Столяр Мори zharkih
18 крас урал Хлебникова  Протопопова Ваганова mihalko
18 крас урал Ваганова Хлебникова Протопопова cherkashin
18 локо лен Рубан Мельникова Озерова tisevich
18 локо лен Рубан Киселева Романова rombik
18 локо лен Юрьева Перова Киселева mihalko
18 локо лен Перова Киселева Юрьева voley
18 локо лен Романова Киселева Озерова kungurtsev
18 локо лен Рубан Киселева Озерова ))
18 мин протон Котикова Дороничева Сергеева ustinov
18 мин протон Дороничева Сергеева Трофимова sovtsova
18 акб дин Гатина Лазарева Гонсалес shipilov
18 мин протон Дороничева Геращенкова Сергеева voley
18 крас урал Хлебникова  Ваганова Протопопова uralband
18 метар тул Лебeдкина Сокольчик Зайцева uralband 
18 мин протон Геращенкова Сергеева Дороничева uralband
18 акб дин Гатина Гонсалес Лукьянова mihalko
18 ени зар Бровкина Бярда Даций dzich
18 крас урал Ваганова Хлебникова Протопопова voley
18 акб дин Реброва Бибина Манжосова voley
18 акб дин Гатина Бибина Лукьянова satdinov

19 дин метар Лазарева Гончарова Диких mihalko
19 дин метар Лазарева Чернова Синицына satdinov
19 акб локо Реброва Киси Матвеева shipilov
19 акб локо Реброва Королева Киси rombik
19 зар лен Рубан Малыгина Руссу tisevich
19 крас оми Симоненко Азанова Ежак kungurtsev
19 крас оми Ежак Симоненко Азанова georgiy
19 зар лен Озерова Руссу Рубан vinogradov
19 зар лен Рубан Руссу Малыгина ason
19 зар лен Романова Малыгина Озерова mihalko
19 крас оми Симоненко Коренчук Слаутина mihalko
19 протон ени Дороничева Селиверстова Костина ustinov
19 протон ени Дороничева Костина Селиверстова sovtsova
19 протон ени Селиверстова Дороничева Костина yar
19 протон ени Котикова Дороничева Сергеева ))
19 акб локо Реброва Королева Киси ))
19 крас оми Ежак Евдокимова Азанова ))
19 тул урал Фитисова Хлебникова Лебедкина romanov
19 кор мин Морено Филиштинская Муранова papaka
19 крас оми Симоненко Коренчук Евдокимова cherkashin
19 кор мин Федоринчик Морено Сарапова bogdanov
19 тул урал Фитисова Ваганова Трухина mihalko
19 протон ени Вучкова Дороничева Распутина enikom
19 протон ени Котикова Дроничева Вучкова zharkih
19 зар лен Малыгина Рубан Романова zharkih
19 тул урал Фитисова Хлебникова Тица uralband
19 кор мин Филиштинская Морено Захарова mihalko

20 кор ени Черняева Филиштинская Муранова papaka
20 лен протон Демидова Романова Булгакова bogdanov
20 лен протон Юрьева Томашевская Мельникова tisevich
20 лен протон Романова Мельникова Томашевская ustinov
20 лен протон Мельникова Юрьева Томашевская sovtsova
20 лен протон Геращенкова Романова Томашевская mihalko
20 урал дин Ваганова Протопопова Фитисова zharkih
20 урал дин Тица Фитисова Хлебникова uralband
20 урал дин Протопопова Фитисова Тица romanov
20 урал дин Тица Хлебникова Фитисова mihalko
20 кор ени Черняева Филиштинская Костина yar
20 метар акб матвеева мартинес королева  vizaulin
20 мин крас Слаутина Турчина Симоненко voley
20 мин крас Слаутина Турчина Симоненко cherkashin
20 кор ени Черняева Нестерова Борисова zhdanova
20 локо зар Киси Киселева Костюкевич rombik
20 локо зар Киси Киселева Костючик litovchenko
20 метар акб Столбова Мартинес Королева shipilov
20 локо зар киси Капралова Киселева vinogradov
20 оми тул Сокольчик Азанова Прасолова kungurtsev
20 оми тул Сокольчик Прасолова Азанова georgiy
20 метар акб Королева Столбова Матвеева voley
20 оми тул Полякова Перович Васильева mihalko
20 локо зар Беликова Костючик Погорельченко voley
20 локо зар Киси Капралова Мори mihalko

21 кор лен Рубан Мельникова Булгакова tisevich
21 крас ени Коренчук Евдокимова Шубина voley
21 кор лен Рубан Мельникова Романова mihalko
21 крас ени Евдокимова Даций Коренчук yar
21 акб урал Тица Мартинес Хлебникова shipilov
21 кор лен Булгакова Морено Рубан bogdanov
21 акб урал тица трухина матвеева mihalko 
21 акб урал хлебникова тица фитисова uralband
21 акб урал тица хлебникова матвеева romanov
21 акб урал тица бибина трухина  voley
21 крас ени евдокимова коренчук шубина cherkashin
21 протон зар мори бирюкова масалева ustinov
21 протон зар бярда мори бирюкова sovtsova
21 протон зар бярда столяр бирюкова voley
21 протон зар бирюкова бярда мори ason
21 протон зар бярда бирюкова селиверстова dzich
21 кор лен озерова мельникова юрьева zhdanova
21 кор лен рубан мельникова озерова papaka
21 метар локо киси киселева иванкович rombik
21 метар локо еклазарева киси иванкович  voley
21 дин оми лукьянова пушина чернова satdinov
21 дин оми лукьянова капустина пушина kungurtsev
21 дин оми лукьянова чернова пушина georgiy
21 тул мин мамедова полякова лебедкина mihalko
21 тул мин мамедова полякова някина voley

22 крас лен ежак коренчук шубина uralband
22 крас лен ежак коренчук малыгина voley
22 крас лен коренчук ежак евдокимова mihalko
22 крас лен ежак коренчук евдокимова cherkashin
22 ени тул чернышева перович полякова voley
22 ени тул сокольчик полякова даций mihalko
22 ени тул перович даций чернышева yar
22 ени тул чернышева перович даций enikom
22 локо протон аслямова сергеева киси ustinov
22 локо протон аслямова киси сергеева sovtsova
22 локо протон киселева киси погорельченко mihalko
22 локо протон киселева киси сергеева rombik
22 локо протон аслямова погорельченко киси voley
22 оми акб гонсалес бибина мартинес georgiy
22 оми акб реброва гонсалес васильева kungurtsev
22 оми акб мартинес королева матвеева shipilov
22 урал метар тица джиоева иванкович romanov
22 урал метар тица фитисова иванкович uralband
22 урал метар швыдкая протопопова зайцева vizaulin
22 урал метар иванкович протопопова швыдкая mihalko
22 мин дин капустина пушина лукьянова satdinov
22 зар кор бровкина сперскайте филиштинская uralband
22 зар кор мори бровкина бирюкова vinogradov
22 зар кор бирюкова сперскайте мори ason
22 зар кор мори сперскайте столяр mihalko
22 зар кор столяр сперскайте бирюкова dzich

23 урал локо швыдкая киси хлебникова voley
23 урал локо хлебникова швыдкая киси mihalko
23 урал локо протопопова киселева киси rombik
23 урал локо хлебникова протопопова киси romanov
23 урал локо хлебникова киселева киси uralband
23 тул лен мамедова перович полякова mihalko
23 тул лен мамедова полякова лебедкина tisevich
23 метар оми диких форналева иванкович mihalko
23 метар оми диких коржова форналева kungurtsev
23 метар оми диких форналева коржова georgiy
23 акб мин гонсалес матвеева реброва shipilov
23 кор протон морено сергеева боброва ustinov
23 кор протон морено боброва филиштинская sovtsova
23 кор протон морено сергеева боброва mihalko
23 кор протон морено филиппова нестерова pustovoy
23 кор протон морено боброва филиштинская papaka
23 дин ени лазарева гончарова капустина satdinov
23 дин ени лазарева капустина гончарова mihalko
23 дин ени лазарева капустина даций yar
23 крас зар бярда бирюкова сперскайте ason
23 крас зар бярда бирюкова соболева dzich
23 крас зар бярда бирюкова слаутина cherkashin
23 крас зар бярда жукова шубина voley


15 лен оми азанова горбатюк коржова georgiy
15 лен оми азанова коржова лялина tisevich
15 лен оми азанова велисевич горбатюк kungurtsev
15 лен оми азанова горбатюк велисевич ))
15 лен оми азанова коржова велисевич mihalko


24 мин метар трофимова федоринчик сычева uralband
24 мин метар трофимова сычева тинникова voley
24 локо кор киси филиштинская костючик rombik
24 локо кор костючик беликова морено voley
24 локо кор морено костючик филиштинская mihalko
24 зар тул бярда бровкина мамедова vinogradov
24 зар тул бярда масалева мори dzich
24 зар тул бярда бирюкова масалева ason
24 оми урал фитисова протопопова хлебникова kungurtsev
24 оми урал фитисова хлебникова протопопова georgiy
24 оми урал фитисова хлебникова протопопова romanov
24 оми урал фитисова протопопова ваганова voley
24 оми урал фитисова хлебникова протопопова uralband
24 лен дин романова булгакова гарелик tisevich
24 лен дин рубан купряшкина романова bogdanov
24 лен дин романова мельникова озерова mihalko
24 лен дин романова мельникова капустина satdinov
24 лен дин озерова романова пушина voley
24 протон крас сергеева геращенкова боговская voley
24 протон крас сергеева томашевская геращенкова ustinov
24 протон крас сергеева котикова томашевская sovtsova
24 ени акб матвеева костина бибина yar
24 ени акб бибина костина королева enikom
24 ени акб гатина матвеева коновалова shipilov


25 оми локо Аслямова Кроткова Пипунырова kungurtsev
25 метар ени Зайцева Диких Мазина yar
25 оми локо Аслямова Кроткова Киселева rombik
25 акб лен Юрьева Малыгина Гатина malyugin
25 акб лен Юрьева Малыгина Гарелик tisevich
25 акб лен Малыгина Гатина Юрьева shipilov
25 оми локо Аслямова Велисевич Костюкевич georgiy
25 урал мин Ваганова Фитисова Хлебникова romanov
25 дин зар Бирюкова Столяр Бярда ason
25 дин зар Бирюкова Мори Лукьянова satdinov
25 тул протон Лебедева Перович Дороничева ustinov
25 тул протон Лебедева Дороничева Сергеева sovtsova
25 крас кор Ежак Боговская Коренчук papaka
25 дин зар Мори Бирюкова Лукьянова vinogradov
25 урал мин ваганова хлебникова протопопова uralband
25 крас кор боговская ежак коренчук cherkashin
25 дин зар бирюкова бярда хабибрахманова dzich
25 акб лен малыгина романова гатина mihalko
25 крас кор боговская коренчук ежак voley
25 тул протон сергеева мамедова селиверстова voley
25 метар ени диких форналева мазина voley

26 оми мин Коржова Азанова Чередникова georgiy
26 лен метар Мишагина Гарелик Малыгина tisevich
26 оми мин  Азанова Чередникова Васильева kungurtsev
26 зар акб гатина - - shipilov
26 протон дин Селиверстова Томашевская Лазарева ustinov
26 протон дин Томашевская Селиверстова Лазарева sovtsova
26 лен метар Рубан Мишагина Диких pustovoy
26 локо крас Ежак Евдокимова Аслямова rombik
26 протон дин Лукьянова Сергеева Синицына satdinov
26 лен метар Рубан Мишагина Диких malyugin
26 зар акб Гатина Светник Бярда vinogradov
26 лен метар Мишагина Романова Иванкович bogdanov
26 ени урал Джиоева Швыдкая Мазина voley
26 ени урал Никитина Зверева Кузьмина uralband
26 ени урал Никитина Костина Кузьмина yar
26 ени урал Швыдкая Джиоева Кондрашова enikom
26 кор тул Филиштинская Морено Нестерова papaka
26 кор тул Морено Филиштинская Муранова zhdanova
26 кор тул Филиштинская Морено Муранова mihalko
26 кор тул Морено Нестерова Филиштинская pustovoy
26 зар акб Гатина Матвеева Бярда dzich
26 зар акб гатина бярда бирюкова ason
26 зар акб Гатина Бровкина Матвеева shipilov


#================    ПЛЕЙ-ОФФ   ====================================

1/4_1 зар локо Киселева Масалева Аслямова rombik
1/4_1 лен дин Гончарова Манжосова Синицына tisevich
1/4_1 зар локо Бирюкова Киселева Аслямова vladislav
1/4_1 лен дин Гончарова Манжосова Мельникова vladislav
1/4_1 лен дин Гончарова Синицына Мельникова satdinov
1/4_1 зар локо Киселева Бирюкова Аслямова litovchenko
1/4_1 лен дин Гончарова Мельникова Гарелик bogdanov
1/4_1 лен дин Гончарова Синицына Мельникова malyugin
1/4_1 урал кор Филиштинская Морено Ваганова uralband
1/4_1 зар локо Бирюкова Масалева Аслямова dzich
1/4_1 урал кор Филиштинская Нестерова Муранова papaka
1/4_1 урал кор Филиштинская Нестерова Фитисова romanov
1/4_1 зар локо Киселева Бирюкова Аслямова vinogradov
1/4_1 акб тул Столбова Гатина Прасолова shipilov
1/4_1 акб тул Гатина Бибина Полякова voley
1/4_1 зар локо Киселева Бирюкова Аслямова voley
1/4_1 лен дин Гончарова Мельникова Булгакова voley
1/4_1 урал кор Филиштинская Морено Нестерова voley
1/4_1 зар локо Бирюкова Киселева Аслямова cherkashin
1/4_1 урал кор Филиштинская Нестерова Ваганова cherkashin
1/4_1 зар локо Киселева Бирюкова Аслямова mihalko
1/4_1 зар локо Бирюкова Киселева Аслямова ason


1/4_2 кор урал Тица Фитисова Морено malyugin
1/4_2 локо зар Младенович Мори Бровкина tisevich
1/4_2 локо зар Младенович Бровкина Бирюкова malyugin
1/4_2 кор урал Тица Фитисова Морено papaka
1/4_2 локо зар Бирюкова Младенович Бровкина ason
1/4_2 локо зар Младенович Мори Киси rombik
1/4_2 дин лен Лазарева Синицына Капустина mihalko
1/4_2 кор урал Фитисова Тица Морено romanov
1/4_2 дин лен Лазарева Синицына Капустина satdinov
1/4_2 кор урал Швыдкая Хлебникова Морено uralband
1/4_2 кор урал Фитисова Тица Морено mihalko
1/4_2 дин лен Капустина Синицына Гончарова tisevich
1/4_2 локо зар Младенович Мори Бровкина voley
1/4_2 кор урал Фитисова Хлебникова Морено voley
1/4_2 тул акб Ковалева Бибина Матвеева voley

1/4_3 зар локо Бровкина Киси Бирюкова malyugin
1/4_3 зар локо Бирюкова Бровкина Киси kungurtsev
1/4_3 зар локо Младенович Бирюкова Бровкина vinogradov
1/4_3 зар локо Бирюкова Младенович Бровкина ason

1/4_2 тул акб Столбова Мартинес Прасолова shipilov

1/4_3 урал кор Фитисова Зверева Хлебникова voley
1/4_3 зар локо Мори Бирюкова Бровкина voley
1/4_3 урал кор Фитисова Хлебникова Джиоева uralband
1/4_3 урал кор Фитисова Ваганова Хлебникова papaka
